city_name,index_value
宁明县,1263
新抚区,177
胡杨河市,1803
原州区,853
乌尔禾区,1306
白碱滩区,63
克拉玛依区,1241
望花区,1878
白杨市,827
独山子区,795
东洲区,689
新星市,1485
天等县,1953
大新县,1634
龙泉市,105
开阳县,1123
芮城县,511
昆玉市,385
可克达拉市,405
台前县,823
张店区,518
范县,476
博山区,709
青秀区,1887
临淄区,1669
濮阳县,1894
兴宁区,771
周村区,1461
南乐县,1047
寿光市,997
清丰县,1589
安丘市,677
高密市,714
昌邑市,1482
淄川区,83
邕宁区,1169
新绛县,1109
图木舒克市,1102
良庆区,457
绛县,1902
阿拉尔市,1
青州市,51
垣曲县,685
石河子市,717
诸城市,1796
夏县,1470
江南区,449
平陆县,881
双河市,488
铁门关市,1824
西乡塘区,34
北屯市,1372
五家渠市,95
普安县,1096
渝水区,1575
晴隆县,154
贞丰县,250
望谟县,674
册亨县,438
伊金霍洛旗,118
樟树市,771
安龙县,1915
乌审旗,1330
高安市,268
丰城市,1985
延平区,1078
建阳区,236
洞口县,389
无棣县,990
隆回县,1758
绥宁县,763
博兴县,1849
城步苗族自治县,401
新宁县,624
武鸣区,767
阳信县,1327
惠民县,919
邵阳县,1231
新邵县,1253
河曲县,853
保德县,1934
偏关县,578
玉树市,75
肃南裕固族自治县,435
民乐县,103
临泽县,1446
临夏市,1728
高台县,764
徽州区,738
色尼区,806
屯溪区,1330
黄山区,98
博白县,1874
繁峙县,798
额济纳旗,1359
陆川县,859
宁武县,435
阿拉善右旗,447
静乐县,1332
吉首市,249
阿拉善左旗,166
兴业县,1505
神池县,984
山丹县,1359
五寨县,1020
岢岚县,542
容县,759
昌吉市,1130
思茅区,1587
阜康市,81
新巴尔虎右旗,133
新巴尔虎左旗,797
陈巴尔虎旗,900
浠水县,138
英山县,184
罗田县,1425
红安县,1354
黄梅县,785
汉滨区,1532
蕲春县,1876
团风县,984
同心县,69
新野县,546
盐池县,1798
淅川县,53
内乡县,1474
唐河县,205
社旗县,126
方城县,1771
南召县,43
镇平县,1776
乌鲁木齐县,1995
西峡县,1907
涟源市,111
冷水江市,761
班戈县,1687
巴青县,1207
尼玛县,848
甘州区,95
聂荣县,1995
安多县,1398
申扎县,1936
索县,1544
鄂温克族自治旗,900
忻府区,360
鄂伦春自治旗,900
莫力达瓦达斡尔族自治旗,1720
嘉黎县,281
阿荣旗,1219
比如县,1888
汤原县,1219
璧山区,667
江津区,93
桦川县,672
澜沧拉祜族自治县,1970
石泉县,61
长寿区,634
西盟佤族自治县,1075
宁陕县,1427
黔江区,1813
江城哈尼族彝族自治县,1029
巴南区,1490
孟连傣族拉祜族佤族自治县,604
汉阴县,682
桦南县,1853
景谷傣族彝族自治县,534
南川区,1429
定襄县,838
镇沅彝族哈尼族拉祜族自治县,1537
永川区,645
五台县,233
墨江哈尼族自治县,524
扎赉诺尔区,346
合川区,1070
代县,546
景东彝族自治县,1969
黄州区,1102
宁洱哈尼族彝族自治县,1754
白河县,1837
平利县,1947
镇坪县,1097
紫阳县,794
岚皋县,249
利通区,47
米东区,1145
达坂城区,214
红寺堡区,239
头屯河区,1080
水磨沟区,350
卧龙区,107
新市区,831
沙依巴克区,48
天山区,1597
渝北区,337
大足区,1050
宛城区,804
綦江区,1281
和田市,8
龙港市,625
深州市,1891
阳新县,1277
常熟市,1716
木里藏族自治县,719
秦淮区,303
会东县,639
建邺区,56
玄武区,726
德昌县,526
盐源县,474
太仓市,28
布拖县,78
张家港市,1240
普格县,1410
昆山市,365
宁南县,666
海拉尔区,526
鲁山县,699
瑞安市,1336
老边区,883
郏县,1031
乐清市,1027
叶县,1647
鼓楼区,919
宝丰县,750
兴山区,363
澳门特别行政区,1775
东山区,1532
兴安区,1298
南山区,1530
工农区,806
向阳区,739
金乡县,1907
中山市,1039
嘉祥县,1216
抚远市,1655
富锦市,485
浑江区,28
同江市,714
江源区,1063
冕宁县,1977
喜德县,1297
微山县,1255
昭觉县,86
鱼台县,1498
金阳县,126
泗水县,812
雷波县,537
梁山县,145
美姑县,1549
甘洛县,1236
越西县,25
汶上县,1604
站前区,1418
鲅鱼圈区,67
西市区,233
囊谦县,109
治多县,1170
称多县,111
杂多县,228
宜城市,111
枣阳市,1494
老河口市,34
曲麻莱县,623
铁山区,1800
下陆区,1960
西塞山区,1393
黄石港区,748
康乐县,595
北流市,1578
休宁县,425
临夏县,613
黟县,1542
广河县,692
永靖县,1306
歙县,1344
祁门县,1762
新华区,1467
石龙区,1976
卫东区,315
沁阳市,877
东乡族自治县,1990
和政县,1765
银海区,1401
孟州市,1313
积石山保安族东乡族撒拉族自治县,1461
海城区,662
呼图壁县,277
玛纳斯县,1734
奇台县,1606
常宁市,1527
耒阳市,624
吉木萨尔县,516
木垒哈萨克自治县,1374
巢湖市,843
江宁区,1470
六合区,1854
栖霞区,350
任城区,1631
雨花台区,1688
兖州区,823
浦口区,1161
潼南区,759
神农架林区,899
铜梁区,243
南雄市,543
乐昌市,1064
铁山港区,229
武隆区,548
梁平区,920
湛河区,1247
溧水区,6
开州区,1346
高淳区,468
荣昌区,1756
同仁市,75
湟源县,4
东乡区,1871
临川区,646
宁国市,118
永昌县,881
广德市,1630
桑珠孜区,504
大通回族土族自治县,947
临渭区,574
华州区,1465
碧江区,194
红塔区,847
万山区,715
新会区,1416
江川区,1050
江海区,1459
蓬江区,173
赫山区,1324
资阳区,1669
旬阳市,326
利州区,1434
城东区,1142
墨玉县,836
城中区,1811
皮山县,724
洛浦县,225
策勒县,532
湟中区,113
于田县,140
民丰县,559
城西区,1
城北区,90
阜城县,654
景县,320
故城县,1574
谢通门县,1829
昭化区,1918
白朗县,139
朝天区,1535
仁布县,1892
金川区,845
定日县,259
枣强县,1697
萨迦县,902
拉孜县,690
昂仁县,10
安平县,261
饶阳县,1943
南木林县,1674
武强县,172
江孜县,898
武邑县,13
和田县,1192
蒲城县,1666
白水县,1620
合阳县,321
澄城县,1343
元江哈尼族彝族傣族自治县,1637
潼关县,329
江口县,785
大荔县,777
遵化市,1995
玉屏侗族自治县,911
峨山彝族自治县,1944
石阡县,1574
邓州市,1443
新平彝族傣族自治县,1630
思南县,1119
华宁县,1841
印江土家族苗族自治县,1605
易门县,318
德江县,1980
文山市,236
沿河土家族自治县,1970
通海县,334
松桃苗族自治县,1909
青铜峡市,376
海城市,1483
富平县,1161
武穴市,1954
麻城市,588
青川县,1571
剑阁县,513
旺苍县,1320
滦州市,1344
苍溪县,918
迁安市,1596
榆树市,1856
公主岭市,1373
德惠市,1864
东阳市,1803
永康市,873
鹿城区,1253
郊区,270
兰溪市,1852
义乌市,798
龙湾区,1315
瓯海区,725
洞头区,1189
东台市,5
包河区,851
饶平县,1403
姑苏区,78
吴江区,1434
吴中区,574
相城区,132
冀州区,601
虎丘区,1773
桃城区,1066
东风区,89
前进区,402
向阳区,296
龙山县,1864
文县,1319
成县,616
两当县,1550
徽县,800
长丰县,1715
康县,1661
庐江县,422
宕昌县,1889
礼县,1047
肥东县,575
西和县,143
肥西县,993
双湖县,665
汝州市,145
舞钢市,1249
河南蒙古族自治县,1007
泽库县,503
桐柏县,1986
永嘉县,1998
尖扎县,821
资溪县,1640
泸溪县,104
金溪县,1971
宜黄县,1063
泰顺县,1971
潮安区,198
乐安县,1670
调兵山市,579
湘桥区,391
崇仁县,1203
南丰县,1992
黎川县,554
南城县,1472
平阳县,1524
苍南县,1039
文成县,1647
开原市,1693
大冶市,1313
保靖县,478
古丈县,1255
福绵区,923
凤凰县,420
玉州区,157
花垣县,550
永顺县,1465
广昌县,1121
武都区,1021
瑶海区,997
庐阳区,1435
蜀山区,951
陆河县,289
海丰县,1278
望江县,196
岳西县,598
彭泽县,1858
平和县,1546
绥中县,517
华安县,1659
大竹县,1866
岑溪市,865
渠县,1142
宣汉县,806
开江县,1933
建昌县,1183
湖口县,815
钟山区,228
六枝特区,1901
水城区,216
澄江市,948
西区,1720
东区,15
宜君县,1181
晋源区,1672
城区,1285
仁和区,1181
龙港区,47
连山区,324
宜秀区,844
南票区,1709
都昌县,130
永修县,1435
德安县,95
武宁县,627
修水县,755
云霄县,1956
漳浦县,1316
诏安县,794
清徐县,1835
东山县,1307
阳曲县,69
南靖县,1684
娄烦县,11
即墨区,1278
米易县,1866
盐边县,872
卢龙县,550
黄岛区,1158
崂山区,712
李沧区,23
城阳区,815
怀宁县,346
太湖县,302
青龙满族自治县,363
宿松县,396
昌黎县,218
莱西市,141
青阳县,1640
石台县,958
东至县,1234
胶州市,985
平度市,993
小店区,1647
迎泽区,1640
杏花岭区,828
富宁县,683
尖草坪区,1484
广南县,1004
万柏林区,356
丘北县,1008
马关县,1348
思明区,1157
麻栗坡县,888
阿克苏市,1829
庐山市,1864
西畴县,127
库车市,1130
合山市,1009
海沧区,604
高平市,1823
砚山县,1402
湖里区,1929
瑞昌市,1014
共青城市,51
康平县,1053
桑植县,1486
山海关区,1320
慈利县,1321
北戴河区,1750
海港区,779
东安区,1431
阳明区,1793
爱民区,814
桐城市,1637
西安区,1429
潜山市,1370
法库县,1646
抚宁区,420
五莲县,1206
吉隆县,983
田家庵区,825
聂拉木县,1025
谢家集区,1855
萨嘎县,1974
莒县,567
岗巴县,371
大通区,936
康马县,1935
定结县,661
仲巴县,1455
八公山区,969
亚东县,1333
潘集区,1161
宜兰县,202
新竹县,1460
彰化县,313
云林县,117
上虞区,1690
越城区,937
柯桥区,1827
浑南区,575
武陵源区,244
苏家屯区,537
通川区,1626
达川区,75
辽中区,1830
于洪区,386
高明区,1927
沈北新区,1234
贵池区,475
淮安区,418
淮阴区,347
澎湖县,1553
台南市,640
台东县,939
新北市,955
屏东县,876
正镶白旗,763
三水区,1203
顺德区,1206
南海区,664
禅城区,25
五常市,1991
多伦县,1204
尚志市,710
正蓝旗,1525
永定区,1880
岚山区,1185
皇姑区,177
东港区,285
林口县,63
大东区,1003
沈河区,662
和平区,666
桃园市,156
台中市,1906
铁西区,1493
临清市,1073
双辽市,967
新竹市,849
花莲县,1108
永新县,1385
高雄市,689
崖州区,148
邳州市,1654
天涯区,342
吉阳区,476
阳原县,1087
海棠区,1725
新沂市,1384
怀安县,561
南部县,327
芒市,1793
瑞丽市,1760
仪陇县,1165
赤城县,990
桂平市,215
西充县,435
营山县,1915
怀来县,952
蓬安县,723
涿鹿县,1342
苗栗县,32
镶黄旗,670
龙圩区,285
建德市,1329
嘉义县,429
太仆寺旗,1501
长洲区,286
嘉义市,1168
西乌珠穆沁旗,1448
安福县,1043
新化县,18
基隆市,769
东乌珠穆沁旗,590
双峰县,1395
苏尼特右旗,1199
遂川县,1010
苏尼特左旗,194
万安县,502
台北市,988
阿巴嘎旗,1137
永丰县,114
南投县,1246
万秀区,1702
泰和县,947
普陀区,831
虹口区,1668
三门县,1921
保亭黎族苗族自治县,1288
中农发山丹马场,925
天台县,55
陵水黎族自治县,1895
仙居县,1667
乐东黎族自治县,800
黄浦区,778
徐汇区,1482
长宁区,1902
静安区,162
新蔡县,1404
天门市,87
潜江市,55
泌阳县,1500
仙桃市,1824
确山县,1202
遂平县,1415
汝南县,1373
上蔡县,1032
昌江黎族自治县,833
西平县,313
白沙黎族自治县,759
正阳县,1859
临高县,443
盘州市,1791
平舆县,328
澄迈县,1078
屯昌县,761
定安县,1263
鹤峰县,1253
青浦区,579
宣恩县,1075
咸丰县,1633
来凤县,1628
杨浦区,1007
万全区,1288
建始县,1442
闵行区,1827
宣化区,96
巴东县,1112
宝山区,1102
下花园区,1312
嘉定区,1144
浦东新区,814
金山区,491
崇礼区,1936
松江区,452
陇川县,1524
盈江县,165
梁河县,182
藤县,469
苍梧县,910
陆丰市,735
锡林浩特市,823
娄星区,944
二连浩特市,7
蒙山县,330
青原区,775
琼中黎族苗族自治县,1697
峡江县,151
新干县,1109
沁水县,147
吉安县,1648
阳城县,1405
吉水县,915
陵川县,1572
泽州县,1309
温宿县,700
沙雅县,82
新和县,514
拜城县,1921
乌什县,815
阿瓦提县,709
柯坪县,1940
福山区,1547
牟平区,746
张北县,1023
莱山区,1410
蓬莱区,707
尚义县,471
蔚县,1143
康保县,396
奉贤区,1556
沽源县,261
驿城区,805
保康县,934
谷城县,1280
南漳县,1758
新丰县,905
利川市,1250
乳源瑶族自治县,1077
城口县,940
恩施市,1891
牙克石市,1524
满洲里市,1530
金塔县,854
瓜州县,1388
武陟县,1304
招远市,593
栖霞市,714
市南区,1182
温县,632
海阳市,59
市北区,1751
呼玛县,128
塔河县,736
龙口市,721
博爱县,1906
海南区,1139
莱阳市,1233
修武县,526
乌达区,521
莱州市,552
肃北蒙古族自治县,1986
阿克塞哈萨克族自治县,237
根河市,1305
海勃湾区,1383
额尔古纳市,1225
扎兰屯市,1782
仁化县,1302
浔阳区,1259
始兴县,494
柴桑区,4
梨树县,666
延寿县,442
城区,29
濂溪区,1133
通河县,610
木兰县,1751
伊通满族自治县,805
巴彦县,75
井冈山市,838
宾县,1170
方正县,128
依兰县,1877
芗城区,42
翁源县,1380
龙文区,41
龙海区,934
长泰区,34
原平市,1041
冠县,1701
祁东县,1177
东阿县,998
兴宾区,1402
高唐县,588
阳谷县,1623
海原县,1653
桥西区,1898
中宁县,342
桓仁满族自治县,27
本溪满族自治县,1849
莘县,1311
桥东区,646
大观区,731
衡南县,168
衡阳县,610
衡东县,268
迎江区,1773
衡山县,821
襄城区,455
襄州区,906
樊城区,1709
双城区,1425
阿城区,922
呼兰区,981
香坊区,1500
万源市,702
顺庆区,634
高坪区,1582
解放区,1600
崇明区,130
马村区,1020
嘉陵区,1846
中站区,1387
肃州区,1729
南岳区,819
武江区,693
松北区,1316
扶余市,1395
平房区,794
铁西区,29
道外区,149
南岗区,1803
铁东区,1320
道里区,11
靖江市,1536
泰兴市,676
兴化市,1137
曲江区,187
浈江区,807
象州县,744
茌平区,1251
忻城县,1334
东昌府区,98
金秀瑶族自治县,55
雁峰区,623
武宣县,664
珠晖区,758
蒸湘区,406
石鼓区,69
沙坡头区,1336
玉环市,1313
南芬区,1786
明山区,1572
山阳区,751
溪湖区,1172
平山区,1491
温岭市,1763
临海市,1268
洪江市,1515
象山县,1873
天峻县,958
都兰县,1531
乌兰县,365
宁海县,482
港北区,201
覃塘区,154
港南区,1474
项城市,1525
镇海区,73
沧源佤族自治县,713
鄞州区,296
奉化区,1041
双江拉祜族佤族布朗族傣族自治县,1665
耿马傣族佤族自治县,1241
永德县,61
镇康县,939
凤庆县,1640
云县,42
荆州区,25
沙市区,1063
武进区,1827
金坛区,131
新北区,1522
陕州区,1253
湖滨区,108
德令哈市,172
格尔木市,1459
茫崖市,1502
泾川县,102
灵台县,866
崇信县,524
伊川县,275
洛宁县,1637
嵩县,1068
石柱土家族自治县,1979
栾川县,817
漠河市,957
宜阳县,1041
汝阳县,330
庄浪县,1593
彭水苗族土家族自治县,1847
新安县,1521
静宁县,1839
酉阳土家族苗族自治县,12
平南县,1342
秀山土家族苗族自治县,1616
巫山县,216
奉节县,339
云阳县,1800
杭锦后旗,661
乌拉特后旗,1105
乌拉特中旗,1751
巫溪县,1509
隆德县,374
西吉县,976
彭阳县,710
泾源县,1224
忠县,1561
垫江县,466
丰都县,1113
乐都区,1292
卫辉市,1679
青山区,1595
平安区,1946
江岸区,489
华亭市,1901
枝江市,1562
武昌区,47
汉阳区,1312
硚口区,778
江汉区,1040
白银区,711
平川区,401
临朐县,1943
偃师区,1818
当阳市,981
宜都市,1110
宿豫区,250
孟津区,391
西工区,1806
乌拉特前旗,335
老城区,629
磴口县,1543
涧西区,137
五原县,883
瀍河回族区,688
长垣市,1864
辉县市,1522
袁州区,827
莲都区,727
万载县,1501
上高县,594
奉新县,1247
湘乡市,990
饶河县,372
宝清县,935
通道侗族自治县,995
临河区,402
友谊县,1467
韶山市,1514
汉南区,615
长岭县,1297
集贤县,1550
东西湖区,1183
前郭尔罗斯蒙古族自治县,1176
洪山区,995
乾安县,620
新洲区,188
寒亭区,1837
黄陂区,1122
坊子区,131
江夏区,805
奎文区,1195
蔡甸区,936
宿城区,986
彰武县,183
阜新蒙古族自治县,983
洛龙区,364
溧阳市,39
离岛区,1551
阆中市,1912
葵青区,497
北区,1540
西贡区,1373
沙田区,982
屯门区,921
靖州苗族侗族自治县,1421
大埔区,722
芷江侗族自治县,1185
荃湾区,16
潍城区,493
元朗区,1450
侯马市,1132
霍州市,894
中方县,1474
余姚市,311
细河区,739
慈溪市,1194
辰溪县,546
沅陵县,414
会同县,251
溆浦县,759
新晃侗族自治县,1805
麻阳苗族自治县,1165
松阳县,1298
安塞区,1440
云和县,1632
宝山区,1763
庆元县,1915
四方台区,1063
景宁畲族自治县,814
宝塔区,29
大柴旦行政委员会,958
岭东区,477
青田县,318
东方市,245
尖山区,748
临翔区,697
缙云县,272
万宁市,1464
遂昌县,1772
文昌市,1263
宁江区,377
中西区,266
东区,926
九龙城区,921
观塘区,1383
南区,340
泗阳县,389
深水埗区,577
泗洪县,1713
湾仔区,3
太康县,1453
黄大仙区,1166
沭阳县,376
油尖旺区,1694
鹿邑县,324
商水县,146
西华县,1982
郸城县,293
琼海市,1689
沈丘县,432
五指山市,705
清河门区,949
太平区,1999
扶沟县,585
新邱区,399
海州区,817
黄陵县,1913
宜川县,1368
黄龙县,964
新昌县,1164
凌源市,187
北票市,1829
八宿县,61
左贡县,939
芒康县,1404
洛隆县,710
贡觉县,807
类乌齐县,1464
丁青县,1343
涟水县,1326
察雅县,1368
江达县,11
蓟州区,1086
志丹县,1869
塔城市,226
吴起县,1177
乌苏市,1735
沙湾市,564
义马市,772
宝坻区,1595
延长县,1608
滨海新区,1684
延川县,1885
宁河区,1599
灵宝市,1334
静海区,885
西青区,1267
龙陵县,1517
津南区,1390
昌宁县,1354
北辰区,1131
施甸县,226
武清区,825
洛川县,218
甘泉县,937
东丽区,753
富县,506
洪湖市,259
石首市,1912
监利市,1798
蓬溪县,1541
松滋市,1797
大英县,54
清江浦区,1071
洪泽区,727
互助土族自治县,689
化隆回族自治县,1545
民和回族土族自治县,1123
循化撒拉族自治县,1044
集美区,1914
同安区,1777
翔安区,1597
东莞市,1915
措勤县,1514
靖远县,419
改则县,690
会宁县,850
景泰县,62
噶尔县,1169
札达县,216
革吉县,3
日土县,160
普兰县,1763
盱眙县,781
金湖县,1144
凤台县,893
寿县,1113
边坝县,329
浮山县,580
安泽县,1934
乡宁县,1381
吉县,1634
曲沃县,1291
襄汾县,1641
翼城县,952
古县,1347
洪洞县,635
泗县,988
灵璧县,1565
萧县,1673
砀山县,1219
勃利县,921
大宁县,738
永和县,1356
隰县,170
汾西县,521
蒲县,1487
古交市,40
海曙区,1561
南开区,1285
诸暨市,1419
河北区,955
红桥区,1250
嵊州市,984
和平区,1148
河东区,975
河西区,38
江北区,328
北仑区,1275
尧都区,1925
天宁区,1200
埇桥区,1626
卡若区,914
钟楼区,454
茄子河区,37
桃山区,1340
新兴区,1712
托里县,973
渑池县,796
裕民县,1989
和布克赛尔蒙古自治县,973
印台区,593
耀州区,1138
王益区,1064
隆阳区,1325
江陵县,224
公安县,318
船山区,349
安居区,115
子长市,698
额敏县,1347
卢氏县,1592
梅江区,1064
义安区,1890
连州市,40
湘东区,1883
英德市,1997
定海区,1773
普陀区,1313
呈贡区,1286
晋宁区,216
西山区,1171
东川区,336
离石区,1192
梅县区,92
官渡区,353
甘井子区,571
平阴县,1595
普兰店区,816
金州区,1705
商河县,781
旅顺口区,363
郊区,557
桐梓县,1369
绥阳县,1717
正安县,1194
道真仡佬族苗族自治县,356
上栗县,191
寻甸回族彝族自治县,1691
务川仡佬族苗族自治县,422
芦溪县,700
凤冈县,7
环县,133
惠安县,1771
嵩明县,557
湄潭县,826
庆城县,761
莲花县,1055
禄劝彝族苗族自治县,535
余庆县,426
合水县,1418
句容市,672
宜良县,363
华池县,1461
安溪县,1694
石林彝族自治县,1575
丹阳市,1951
永春县,82
禄丰市,356
扬中市,1282
德化县,1742
楚雄市,589
富民县,1548
金门县,295
凤山县,1986
莱芜区,1248
泸县,1549
天峨县,1070
钢城区,1691
讷河市,1137
合江县,1257
罗城仫佬族自治县,17
凤城市,360
东兰县,1247
东港市,866
宁县,700
历城区,448
古蔺县,856
沙河口区,365
正宁县,675
长清区,1008
西岗区,1350
南丹县,467
章丘区,414
中山区,1479
镇原县,586
济阳区,1257
叙永县,1248
枞阳县,994
巴马瑶族自治县,1855
环江毛南族自治县,1436
大化瑶族自治县,572
都安瑶族自治县,335
云梦县,1246
大悟县,37
孝昌县,989
荔浦市,278
岱山县,1220
嵊泗县,916
扎赉特旗,1888
天桥区,484
曲周县,1266
科尔沁右翼中旗,1348
科尔沁右翼前旗,731
馆陶县,192
魏县,1041
历下区,524
市中区,918
槐荫区,401
鸡泽县,1930
广平县,886
突泉县,705
邱县,22
习水县,474
安源区,1144
福安市,210
福鼎市,306
武定县,1294
元谋县,704
龙南市,687
永仁县,285
西峰区,716
大姚县,1700
鲤城区,763
瑞金市,1251
姚安县,948
丰泽区,381
北安市,460
南华县,1031
洛江区,29
五大连池市,907
牟定县,1057
泉港区,1670
嫩江市,879
双柏县,79
南澳县,1952
平原县,947
澧县,459
齐河县,570
汉寿县,1562
武城县,1506
桃源县,1454
夏津县,738
临澧县,1309
宁津县,516
石门县,1123
临邑县,397
庆云县,1513
铜官区,39
安乡县,1295
孝南区,887
金平区,797
新荣区,157
平城区,1099
云冈区,884
云州区,1824
永年区,1154
澄海区,1711
潮南区,974
潮阳区,1108
濠江区,1046
乌兰浩特市,1483
双台子区,1563
雨城区,1731
大洼区,849
兴隆台区,1406
谯城区,748
名山区,1464
阿尔山市,1628
广灵县,989
信宜市,21
灵丘县,303
化州市,869
浑源县,1979
高州市,84
左云县,1798
龙湖区,1683
阳高县,1977
天镇县,1477
成安县,1411
大名县,1531
鼎城区,1281
武陵区,570
临漳县,1916
逊克县,934
文登区,1551
孙吴县,1186
涉县,1981
磁县,1187
环翠区,1856
禹城市,1009
乐陵市,793
连南瑶族自治县,792
连山壮族瑶族自治县,1548
阳山县,1810
佛冈县,1295
汉源县,492
石棉县,208
荥经县,1563
宝兴县,1608
天全县,1084
芦山县,430
红花岗区,985
汇川区,1681
播州区,1629
盘龙区,1333
怀仁市,520
五华区,591
腾冲市,1051
邯山区,1710
丛台区,1586
射洪市,199
纳溪区,387
峰峰矿区,349
龙马潭区,960
肥乡区,1964
长海县,693
